Profundidade [m]	Densidade Aparente Seca [g/cm³]
5444.9192	2.1597880000000003
5445.0716	2.244735
5445.224	2.2992630000000003
5445.3764	2.330102
5445.5288	2.3697410000000003
5445.6812	2.41509
5445.8336	2.406975
5445.986	2.449469
5446.1384	2.495409
5446.2908	2.48476
5446.4432	2.4139869999999997
5446.5956	2.376851
5446.748	2.361443
5446.9004	2.32965
5447.0528	2.229341
5447.2052	2.141394
5447.3576	2.077487
5447.51	2.1234439999999997
5447.6624	2.1900199999999996
5447.8148	2.184577
5447.9672	2.157382
5448.1196	2.184398
5448.272	2.2561410000000004
5448.4244	2.324775
5448.5768	2.365447
5448.7292	2.375705
5448.8816	2.376074
5449.034	2.382916
5449.1864	2.378927
5449.3388	2.374465
5449.4912	2.379168
5449.6436	2.414024
5449.796	2.424203
5449.9484	2.397624
5450.1008	2.361083
5450.2532	2.324691
5450.4056	2.326291
5450.558	2.310985
5450.7104	2.301017
5450.8628	2.327307
5451.0152	2.3275889999999997
5451.1676	2.319942
5451.32	2.32157
5451.4724	2.3254070000000002
5451.6248	2.3344349999999996
5451.7772	2.333753
5451.9296	2.313987
5452.082	2.3196019999999997
5452.2344	2.359509
5452.3868	2.400989
5452.5392	2.394515
5452.6916	2.387831
5452.844	2.399192
5452.9964	2.403076
5453.1488	2.396135
5453.3012	2.3812729999999998
5453.4536	2.3945179999999997
5453.606	2.409446
5453.7584	2.4145079999999997
5453.9108	2.4145619999999997
5454.0632	2.3723
5454.2156	2.327122
5454.368	2.316591
5454.5204	2.342079
5454.6728	2.358174
5454.8252	2.355203
5454.9776	2.327773
5455.13	2.288113
5455.2824	2.296967
5455.4348	2.3255290000000004
5455.5872	2.352992
5455.7396	2.363397
5455.892	2.377397
5456.0444	2.37897
5456.1968	2.3709979999999997
5456.3492	2.363887
5456.5016	2.3611370000000003
5456.654	2.369542
5456.8064	2.3754030000000004
5456.9588	2.378799
5457.1112	2.3879070000000002
5457.2636	2.3898070000000002
5457.416	2.3920320000000004
5457.5684	2.401478
5457.7208	2.41571
5457.8732	2.4295310000000003
5458.0256	2.434637
5458.178	2.424666
5458.3304	2.4240209999999998
5458.4828	2.449678
5458.6352	2.4793570000000003
5458.7876	2.504259
5458.94	2.4904729999999997
5459.0924	2.455799
5459.2448	2.4196329999999997
5459.3972	2.408813
5459.5496	2.3585610000000004
5459.702	2.2921959999999997
5459.8544	2.152948
5460.0068	2.100166
5460.1592	2.170278
5460.3116	2.246795
5460.464	2.2872470000000003
5460.6164	2.212748
5460.7688	2.075435
5460.9212	2.033442
5461.0736	2.1669349999999996
5461.226	2.311655
5461.3784	2.42899
5461.5308	2.460378
5461.6832	2.43006
5461.8356	2.409624
5461.988	2.402968
5462.1404	2.4170439999999997
5462.2928	2.437332
5462.4452	2.4883409999999997
5462.5976	2.4889289999999997
5462.75	2.458241
5462.9024	2.450447
5463.0548	2.439349
5463.2072	2.437317
5463.3596	2.442389
5463.512	2.457285
5463.6644	2.462514
5463.8168	2.456585
5463.9692	2.452314
5464.1216	2.43906
5464.274	2.423622
5464.4264	2.423005
5464.5788	2.438612
5464.7312	2.454727
5464.8836	2.4580319999999998
5465.036	2.452984
5465.1884	2.4513570000000002
5465.3408	2.449811
5465.4932	2.4422029999999997
5465.6456	2.4189439999999998
5465.798	2.4121140000000003
5465.9504	2.396928
5466.1028	2.3887240000000003
5466.2552	2.389572
5466.4076	2.3923270000000003
5466.56	2.36216
5466.7124	2.360747
5466.8648	2.422935
